5,a rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle
11,a quiet machine running and a child speaking and then an adult speaks and the child laughs
12,a toy train running as a young boy talks followed by plastic clanking then a child laughing
17,clattering of a train is ongoing a railroad crossing bell rings and a train horn blows
26,a man is speaking as birds are squawking and a dog barks
28,a man speaking followed by dogs barking alongside chimps screaming and birds chirping
29,a man speaking as monkeys scream and dogs bark followed by birds cawing in the distance
30,a large truck driving by as an emergency siren wails and truck horn honks
37,an infant yelling as a young boy talks while a hard surface is slapped several times
38,a young boy talking as a baby is yelling with several slaps on a hard surface
39,a young kid speaking with a series of slapping on a hard surface as a baby is yelling
42,a bus engine running followed by a bus horn honking
43,a bus engine accelerating followed by a bus horn honking while plastic clacks
55,a woman talks and a baby whispers
56,a woman talking as a baby talks followed by plastic thumping
57,a woman and a baby are having a conversation
60,a man talking as a stream of water trickles in the background
66,a kid speaking followed by a toilet flushing then a girl talking
69,music plays and an adult female speaks a flush occurs and water splashes and gurgles and a young female speaks
76,a train clicks on a track
80,a person talking which later imitates a couple of meow sounds
81,a person speaks and makes meow sounds
90,an infant crying followed by a man laughing
92,an infant crying followed by a man laughing
95,a man talking as a door slams shut followed by a door creaking
96,male speech a door closing and then male speech
97,a man speaking followed by a door shutting and then the man speaks some more
99,male speech and then a door shutting
110,water is trickling and a man talks
130,repeated gunfire and screaming in the background
131,rapid gunfire and faint screaming
140,water running with a main is speaking
141,water flowing and splashing from a faucet with a man speaking
143,faucet running and a man speaks
144,faucet water pouring followed by a man talking as water gurgles down a drain
149,a tin can clacking followed by a girl talking then a woman talking
166,a muffled vehicle engine revving then running idle as cloth rustles
176,spray and then a loud pop and hiss
179,air spraying followed by fire igniting then loud audio static followed by pressurized air releasing
181,a motorboat driving by as water splashes followed by wind blowing into a microphone
182,a motorboat driving by as water splashes followed by wind blowing into a microphone
184,a speedboat is traveling across water followed by strong wind noise
208,a click occurs and a low-pitched electronic vibration begins
212,electronic beeping followed by a cat singing then meowing as paper shuffles and a man talks with music playing in the background
213,a man speaks with some quick meows and digital beeps
215,motorboat engine screams as it accelerates
234,men speak as insects buzz
236,a group of people screaming and laughing as firecrackers ignite then explode followed by a muffled explosion
237,screaming and a big explosion and then screaming
238,a group of people screaming followed by missiles launching and loud popping explosions then a slowed down explosion
243,a man speaks followed by loud vibrations
244,a man speaking as a sewing machine rapidly operates followed by another man speaking
245,a man speaks and then whistles
248,a man speaks then whistles
249,a man speaking followed by a series of whistling
250,an adult male is speaking in a quiet environment
253,an elderly man speaking
254,an elderly man speaking
260,a vehicle engine revving as a crowd of people talk
262,humming of a revving idling engine with people speaking in the distance
264,a vehicle engine revving as a crowd of people talk in the background
269,birds tweeting followed by spraying
272,a man talking then laughing as a ducks quack
273,ducks quack as people communicate
274,a man shouting and hollering as ducks quack and chirp while wind blows into a microphone
277,the buzz of the crowd is interrupted by a child shouting followed by a police siren and a horn honking
278,yelling and then siren and horn
286,beeping sound with person talking in the background
290,a man and woman laughing followed by a man shouting then a woman laughing as a child laughs
293,a baby laughing and the female speech and male shouting
294,a baby laughs while a man and a woman speaks and laughs as well
297,a wrapper crinkling and a woman's soft voice
299,a woman speaks quietly during a louder sharp crinkling sound
300,several birds chirp with some hissing
301,several birds tweeting loudly followed by insects chirping
303,birds chirping with insects buzzing and outdoor ambiance
306,an adult male speaks and then an audience laughs and claps somewhat followed by the adult male speaking again and then the audience laughing and clapping harder
307,a man speaking followed by a crowd of people laughing then applauding
309,a man speaks and people laugh and clap
310,a small motor buzzing followed by a man speaking as a metal door closes
314,an electric motor buzzing as a man is talking followed by a door closing
316,a horse clip-clops in a windy rain as thunder cracks in the distance
318,rain falls and distant thunder roars with nearby faint clip-clops of a horse
320,electronic beeping as a man talks and water pouring in the background
321,a series of electronic beeps as a man is talking while water trickles in the background
324,water pours a horn honks and a man speaks
326,rain falls and a man speaks with distant thunder
328,a man and a woman communicates with thunder and rain in the background
329,a man talking followed by another man laughing as rain falls and thunder roars in the distance
340,a man speaking over an intercom as a helicopter engine runs followed by several gunshots firing
341,a man speaking as a muffled helicopter engine runs over an intercom before and after several gunshots firing followed by an electronic beep then radio static
344,a man speaking through an intercom while a helicopter is flying before and after a series of gunshots firing
345,a man talking followed by a goat baaing then a metal gate sliding while ducks quack and wind blows into a microphone
347,a man talking followed by a goat baaing then a metal gate sliding shut as ducks quack and wind blows into a microphone
348,a man talking followed by a goat talking as a metal gate slides shut while ducks quack and wind blows into a microphone
349,a man talking followed by a goat baaing then a metal gate sliding as ducks quack and wind blows into a microphone
353,several motorcycle engines running and revving as a man talks in the background
355,a vehicle door opening as a crow caws and birds chirp while vehicles drive by in the background
356,birds chirping followed by a car door unlocking and opening
357,a car door opening as a crow caws and birds chirp followed by a vehicle driving by in the background
358,birds chirping and then a door unlocking and then opening
359,a vehicle door opening as birds chirp and vehicles pass by in the background
361,a motorboat engine operating as a crowd of people talk followed by metal creaking and a man speaking
371,an aircraft motor is running and whirring is present helicopter rotors slap rhythmically and an adult male speaks in the background
374,a helicopter is flying above while a man is talking
381,people scream with a distant hum and splashing waves
383,several people screaming and laughing with a humming engine and splashing waves
387,a crowd of people applauding
389,a crowd applauds
392,some light tapping on a computer keyboard and a baby crying
395,a series of electronic beeps followed by static
397,a bleeping noise followed by a static noise
399,a mechanical beeping tone followed by static then the return of the beeping
