6,a whooshing noise followed by an explosion
53,rain falling with thunder in the distance
61,water trickling while a man speaks
66,a kid speaking followed by a toilet flushing then a girl talking
68,a woman talking followed by a toilet flushing while a kid talks
71,an adult female holds a high musical note and then gags after which birds chirp
74,person singing a long note and birds chirping
77,a cuckoo bird coos followed by a train running on railroad tracks as a bell dings in the background
83,a man talks like a cat before growling then meowing and finally hissing
88,water flows and splashes
112,bubbles gurgling and water spraying as a man speaks softly while crowd of people talk in the background
122,a man talking then a young boy talking followed by a loud pop as pigeons coo and bird wings flap
140,water running with a main is speaking
142,a man is talking as tap water is running
143,faucet running and a man speaks
144,faucet water pouring followed by a man talking as water gurgles down a drain
160,a woman speaking followed by a porcelain plate clanking as food and oil sizzles
183,a boat motor runs fast and water splashes at regular intervals then it fades and the wind is blowing
201,female speaking
203,a woman speaking
208,a click occurs and a low-pitched electronic vibration begins
227,a horn and then an engine revving
231,muffled speech and insect buzzing
233,insects buzzing as a man is talking 
239,a group of people laughing and screaming alongside firecrackers igniting then exploding followed by a muffled explosion
244,a man speaking as a sewing machine rapidly operates followed by another man speaking
245,a man speaks and then whistles
247,man speaks followed by whistling
248,a man speaks then whistles
256,warning bells ring and a horn blows as a train passes
261,a mid-size motor vehicle engine is revving repeatedly while people talk in the background
264,a vehicle engine revving as a crowd of people talk in the background
267,birds are chirping in the background rustling and clattering ensue then a hissing spray and more rustling and clattering occur
271,a crowd of people talking as a man hollers and laughs while a group of ducks quack
276,child speaks and an emergency siren sounds
297,a wrapper crinkling and a woman's soft voice
298,paper crackling with female speaking lightly in the background
301,several birds tweeting loudly followed by insects chirping
313,electronic humming followed by a man speaking and a door closing
338,a muffled train running on railroad tracks followed by a train horn honking
344,a man speaking through an intercom while a helicopter is flying before and after a series of gunshots firing
362,a large motor is running smoothly water is splashing people are talking in the background and an adult male speaks in the distance
369,a whirring followed by an object hitting a surface
394,a child crying followed by a person blowing their nose during a series of computer mouse clicks
406,rustling and tapping followed by brief gurgling
407,a series of loud metal hammering as liquid drains down a pipe followed by a metal chain rattling
409,metal clacking sharply several times as water drains down a pipe followed by metal rattling
422,people laugh and speak
427,snoring followed by male speech
435,pigeons cooing as air lightly hisses in the background followed by a camera muffling
437,pigeons cooing followed by camera muffling
442,repeated bursts of spray
459,wind blows followed by rustling and scraping
467,footsteps and a croaking frog
482,a man is speaking followed by birds chirping
483,a man speaks followed by chirping birds
485,pretend to scream and crying is occurring and an adult male begins to speak
500,whistling as a man speaks
503,whistling with male speech
508,plastic crinkling as a man is talking
510,a vehicle engine revving then powering down
512,a car engine revs and then shuts off
518,a man speaking as a man talks over an intercom in the background followed by a girl talking then a group of people laughing and a man and woman talk
519,a man talking while a man talks over an intercom followed by a girl talking then a woman and group of men laughing
526,a man speaks while water splashes
529,a man talks while water burbles
546,metal clacking in a pan as a woman talks while food and oil sizzle
564,metal scrapping and gravel pouring while pigeons are cooing
575,people are talking along with knock sounds
589,an aircraft motor is operating with rhythmic whirring then wind roars
626,a frog chirping as a woman talks over an intercom and water splashes in the background followed by wood falling on a hard surface
627,a frog chirping with distant speaking of a person
628,a frog croaking as a woman talks through an intercom while water is splashing and wood clanks in the background
632,a toy helicopter flying
638,a man talks as a vehicle is accelerating
651,repeated scraping with faint music in the background
665,a power tool vibrating quick followed by a man speaking and some bangs
672,a person sneezes and coughs
681,water is splashing down into a bathtub
689,water pouring into a glass container as a man faintly speaks in the background
704,a bicycle pedaling on dirt followed by a twig snapping then a man talking and laughing
710,hissing together with an engine chugging
726,an engine running and then tires squealing and a car accelerates
727,a car skidding its tires and racing away
737,a man speaks with some distant hum and a child speaking
741,a clock ticking
743,a clock ticking
744,a clock ticking
746,speech and then a pop and laughter
748,a man talking followed by a popping burst then a man screaming proceeded by a crowd of people laughing
749,men speak followed by a small burst and people laughing
750,water running from a flushed toilet
751,a toilet flushing
754,a toilet flushing
766,a man talking followed by metal shuffling then a power tool drilling
771,a man speaking on a microphone as a crowd of people chant and clap
783,water trickling as a motorboat engine runs and wind blows on a microphone
790,humming from a motor with loud dry cracking
806,female and male are having conversation
807,a man and woman speak
809,man and woman talking
814,boat motor buzzes while operating at high throttle
825,a person whistling then a man speaking with plastic tapping
828,a man whistling followed by a man yelling as plastic rustles and clanks in the background
831,revving of a motorcycle with a man speaking
871,wind blows hard and an engine hums loud
873,wind blowing hard and a loud humming engine
917,bells ringing repeatedly
945,a bell is ringing
972,a man and a woman talking followed by a bell ringing and a cat meowing as a crowd of people applaud
984,a child crying and a car door closing
986,a man speaks with wind blowing and buzzing of insects
1007,rain and thunder
1008,it is thundering and raining
1022,an engine humming and brakes squealing
1034,a vehicle driving then accelerating alongside a series of plastic clicks
1035,an infant crying
1036,an infant crying
1041,several breeds of birds chirping and honking
1065,tapping followed by water spraying and more tapping
1066,swiping occurs then a faucet runs and drains
1069,someone moving around followed by sink water running
1070,a power tool drilling as music plays followed by someone blows air then plastic clanking and a man speaking
1071,drilling sound with light music in background then a man speaking
1105,chirping birds near and far
1106,nature sounds with birds chirping and singing
1107,nature sounds with birds chirping
1135,hisses continuously with some static
1136,a roaring hiss is ongoing and a brief low hum occurs
1142,water trickling followed by a toilet flushing then liquid draining through a pipe
1170,a vehicle engine gurgling followed by a horn tooting as wind blows into a microphone
1171,rattling and humming with a horn echoing and wind blowing
1204,pigeons are cooing along with a machine rumbling noise and a man speaks
1212,a vehicle engine running idle then revving several times before a car door slams shut
1216,female speaking and a sheep bleating
1218,a woman and young man are speaking over bleating sheep
1232,water flowing and trickling
1236,a woman and a man talking through a telephone speaker
1239,a woman and a man speaking through a telephone speaker
1244,loud continuous applause
1250,toilet flushes and water gurgles as it drains
1295,vibrations of an idling engine with a man speaking
1306,background rustling followed by a goat screaming
1310,a person speaks and then a loud click occurs
1324,children speak in the distance and a woman speaks nearby with some rustling and banging
1338,a kid crying as a crowd of people talk in the background and a woman is yelling
1343,two men talking as a truck engine runs idle and wind blows into a microphone
1347,a train horn honking followed by a subway train running on railroad tracks
1362,a man speaks followed by a beep and a child speaks
1376,some rustling followed by whistling
1377,rustling followed by whistling
1379,a rustling followed by a soulful whistling
1388,babies laugh with a spray noise
1389,a spray bottle hisses as two infants laugh
1392,engine running steadily
1395,waves and wind rake a shore
1397,waves crash on a beach while the wind blows
1408,male speech and metal scraping
1415,a woman speaks then a phone chimes then there is a burp followed by laughter
1417,woman speaks girl speaks clapping croaking noise interrupts followed by laughter
1421,scary laughter by an adult male occurs followed by a click and a buzz and a baby begins crying
1422,a man laughs followed by a baby crying
1423,a maniacal laugh followed by a crying baby
1424,wicked laughter followed by a baby crying
1432,a loud explosion as gusts of wind blow
1475,train engine as it travels
1476,a train engine operating
1477,a train engine running
1479,a toy train engine operating
